,text_raw,text_clean,text_raw_len,vader,textblob,distilbert,multibert,roberta
0,"Someone must have been telling lies about Josef K., he knew he had done
nothing wrong but, one morning, he was arrested.","someone must have been telling lies about josef k., he knew he had done nothing wrong but, one morning, he was arrested.",121,-0.6455,-0.5,-0.9846931099891663,1,-0.9985889792442322
1,"Every day at eight in
the morning he was brought his breakfast by Mrs. Grubach's cook--Mrs.
Grubach was his landlady--but today she didn't come.",every day at eight in the morning he was brought his breakfast by mrs. grubach's cook--mrs. grubach was his landlady--but today she did not come.,146,0.0,0.0,-0.9958400130271912,1,-0.9987560510635376
2,"That had never
happened before.",that had never happened before.,32,0.0,0.0,0.9980359673500061,3,-0.9884769320487976
3,"K. waited a little while, looked from his pillow at the
old woman who lived opposite and who was watching him with an
inquisitiveness quite unusual for her, and finally, both hungry and
disconcerted, rang the bell.","k. waited a little while, looked from his pillow at the old woman who lived opposite and who was watching him with an inquisitiveness quite unusual for her, and finally, both hungry and disconcerted, rang the bell.",217,0.0,0.022500000000000003,0.9725937843322754,4,-0.9921724200248718
4,"There was immediately a knock at the door
and a man entered.",there was immediately a knock at the door and a man entered.,61,0.0,0.0,0.8382216691970825,1,0.99274742603302
5,He had never seen the man in this house before.,he had never seen the man in this house before.,47,0.0,0.0,0.986544668674469,3,-0.9975124001502991
6,"He
was slim but firmly built, his clothes were black and close-fitting,
with many folds and pockets, buckles and buttons and a belt, all of
which gave the impression of being very practical but without making it
very clear what they were actually for.","he was slim but firmly built, his clothes were black and close-fitting, with many folds and pockets, buckles and buttons and a belt, all of which gave the impression of being very practical but without making it very clear what they were actually for.",255,0.7343,0.07722222222222223,-0.9779880046844482,4,0.9927152395248413
7,"""Who are you?""","""who are you?""",14,0.0,0.0,-0.9950499534606934,1,-0.9961782693862915
8,"asked K., sitting
half upright in his bed.","asked k., sitting half upright in his bed.",43,0.0,-0.16666666666666666,-0.9974294304847717,2,-0.9965558052062988
9,"The man, however, ignored the question as if
his arrival simply had to be accepted, and merely replied, ""You rang?""","the man, however, ignored the question as if his arrival simply had to be accepted, and merely replied, ""you rang?""",116,-0.0516,-0.25,-0.9938571453094482,2,-0.9993487596511841
